date,product,stations,price
2021-11-05,unleaded95,3879,1.775
2021-11-04,unleaded95,4046,1.775
2021-11-02,unleaded95,4098,1.773
2021-11-01,unleaded95,4115,1.771
2021-10-29,unleaded95,4294,1.769
2021-10-27,unleaded95,4372,1.765
2021-10-26,unleaded95,4370,1.763
2021-10-25,unleaded95,4386,1.762
2021-10-22,unleaded95,4482,1.76
2021-10-21,unleaded95,4483,1.759
2021-10-20,unleaded95,4468,1.757
2021-10-19,unleaded95,4442,1.753
2021-10-18,unleaded95,4430,1.751
2021-10-13,unleaded95,4385,1.742
2021-10-12,unleaded95,4281,1.735
2021-10-08,unleaded95,4210,1.726
2021-10-07,unleaded95,4045,1.715
2021-10-04,unleaded95,3882,1.708
2021-10-01,unleaded95,3863,1.707
2021-09-27,unleaded95,3708,1.703
2021-09-24,unleaded95,3921,1.703
2021-09-22,unleaded95,3941,1.703
2021-09-23,unleaded95,3862,1.702
2021-09-20,unleaded95,3795,1.702
2021-09-17,unleaded95,3749,1.701
2021-09-16,unleaded95,3679,1.699
2021-09-13,unleaded95,3546,1.693
2021-09-10,unleaded95,3470,1.689
2021-09-09,unleaded95,3423,1.687
2021-09-08,unleaded95,3396,1.684
2021-09-07,unleaded95,3299,1.682
2021-09-03,unleaded95,3242,1.682
2021-09-01,unleaded95,3180,1.682
2021-08-27,unleaded95,3121,1.682
2021-08-26,unleaded95,3081,1.684
2021-08-25,unleaded95,3041,1.685
2021-08-24,unleaded95,2920,1.686
2021-08-23,unleaded95,2844,1.686
2021-08-20,unleaded95,2899,1.689
2021-08-19,unleaded95,2933,1.69
2021-08-18,unleaded95,3050,1.69
2021-08-17,unleaded95,3055,1.69
2021-08-16,unleaded95,3175,1.69
2021-08-13,unleaded95,3430,1.691
2021-08-12,unleaded95,3446,1.692
2021-08-11,unleaded95,3446,1.692
2021-08-10,unleaded95,3405,1.692
2021-08-09,unleaded95,3370,1.692
2021-08-06,unleaded95,3393,1.692
2021-08-05,unleaded95,3431,1.692
2021-08-03,unleaded95,3361,1.69
2021-08-02,unleaded95,3330,1.689
2021-07-30,unleaded95,3523,1.685
2021-07-29,unleaded95,3549,1.685
2021-07-27,unleaded95,3555,1.684
2021-07-28,unleaded95,3506,1.683
2021-07-26,unleaded95,3891,1.684
2021-07-23,unleaded95,4009,1.684
2021-07-22,unleaded95,4050,1.684
2021-07-20,unleaded95,4026,1.683
2021-07-19,unleaded95,4014,1.682
2021-07-16,unleaded95,4062,1.678
2021-07-15,unleaded95,4083,1.677
2021-07-14,unleaded95,4108,1.675
2021-07-13,unleaded95,4087,1.674
2021-07-12,unleaded95,4106,1.673
2021-07-09,unleaded95,4222,1.672
2021-07-08,unleaded95,4219,1.669
2021-07-07,unleaded95,4162,1.662
2021-07-05,unleaded95,4156,1.66
2021-07-02,unleaded95,4186,1.656
2021-06-30,unleaded95,4144,1.651
2021-06-29,unleaded95,4114,1.649
2021-06-28,unleaded95,4091,1.646
2021-06-25,unleaded95,4075,1.637
2021-06-15,unleaded95,3558,1.617
2021-06-22,unleaded95,3396,1.616
2021-06-09,unleaded95,3089,1.613
2021-06-04,unleaded95,2942,1.611
2021-06-03,unleaded95,2934,1.611
2021-06-01,unleaded95,2856,1.61
2021-05-31,unleaded95,2829,1.61
2021-05-28,unleaded95,3036,1.611
2021-05-27,unleaded95,3144,1.612
2021-05-25,unleaded95,3332,1.612
2021-05-21,unleaded95,3769,1.614
2021-05-18,unleaded95,3670,1.613
2021-05-12,unleaded95,3473,1.611
2021-05-07,unleaded95,2847,1.602
2021-05-05,unleaded95,2708,1.599
2021-04-28,unleaded95,2943,1.6
2021-04-23,unleaded95,3039,1.6
2021-04-22,unleaded95,3036,1.6
2021-04-21,unleaded95,3006,1.601
2021-04-14,unleaded95,2873,1.6
2021-04-13,unleaded95,2851,1.601
2021-04-12,unleaded95,2861,1.602
2021-04-09,unleaded95,2810,1.602
2021-04-06,unleaded95,2747,1.6
2021-04-05,unleaded95,3172,1.6
2021-04-01,unleaded95,3366,1.6
2021-03-29,unleaded95,3784,1.6
2021-03-23,unleaded95,4193,1.601
2021-03-19,unleaded95,4222,1.599
2021-03-22,unleaded95,4230,1.598
2021-03-18,unleaded95,4230,1.596
2021-03-11,unleaded95,4242,1.584
2021-03-09,unleaded95,4193,1.572
2021-03-08,unleaded95,4184,1.57
2021-03-05,unleaded95,4271,1.566
2021-03-04,unleaded95,4277,1.563
2021-03-02,unleaded95,4242,1.559
2021-03-03,unleaded95,4216,1.556
2021-02-26,unleaded95,4271,1.549
2021-02-25,unleaded95,4285,1.545
2021-02-23,unleaded95,4280,1.539
2021-02-19,unleaded95,4250,1.528
2021-02-15,unleaded95,4137,1.518
2021-02-11,unleaded95,4006,1.51
2021-02-10,unleaded95,3928,1.505
2021-02-09,unleaded95,3761,1.499
2021-02-08,unleaded95,3626,1.496
2021-02-05,unleaded95,3510,1.487
2021-02-04,unleaded95,3522,1.485
2021-02-03,unleaded95,3602,1.484
2021-02-01,unleaded95,3676,1.482
2021-01-29,unleaded95,4184,1.482
2021-01-28,unleaded95,4231,1.482
2021-01-27,unleaded95,4274,1.481
2021-01-26,unleaded95,4266,1.479
2021-01-25,unleaded95,4263,1.478
2021-01-22,unleaded95,4297,1.476
2021-01-21,unleaded95,4292,1.475
2021-01-20,unleaded95,4295,1.473
2021-01-19,unleaded95,4241,1.469
2021-01-18,unleaded95,4222,1.467
2021-01-15,unleaded95,4127,1.46
2021-01-14,unleaded95,4044,1.455
2021-01-13,unleaded95,3961,1.451
2021-01-11,unleaded95,3641,1.443
2021-01-08,unleaded95,3468,1.439
2021-01-07,unleaded95,3406,1.438
2021-01-04,unleaded95,3240,1.437
2020-12-31,unleaded95,3619,1.436
2020-12-30,unleaded95,3691,1.435
2020-12-29,unleaded95,3662,1.435
2020-12-28,unleaded95,3679,1.435
2020-12-24,unleaded95,3824,1.434
2020-12-23,unleaded95,3787,1.434
2020-12-22,unleaded95,3730,1.432
2020-12-21,unleaded95,3646,1.431
2020-12-18,unleaded95,3602,1.43
2020-12-17,unleaded95,3614,1.428
2020-12-16,unleaded95,3626,1.428
2020-12-15,unleaded95,3549,1.427
2020-12-14,unleaded95,3566,1.426
2020-12-11,unleaded95,3808,1.424
2020-12-10,unleaded95,3813,1.424
2020-12-09,unleaded95,3798,1.423
2020-12-08,unleaded95,3762,1.423
2020-12-07,unleaded95,3741,1.422
2020-12-04,unleaded95,3792,1.422
2020-12-03,unleaded95,3795,1.422
2020-12-02,unleaded95,3799,1.421
2020-12-01,unleaded95,3707,1.42
